Name,1,2,3,4,5,6,7,8,9,10,11
Stone: granite or whin (as built),0.5,0.5,0.5,0.5,0.45,0.42,0.42,0.42,0.45,0.45,0.45
Stone: sandstone (as built),0.5,0.5,0.5,0.5,0.45,0.42,0.42,0.42,0.45,0.45,0.45
Solid brick (as built),0.22,0.22,0.22,0.22,0.24,0.25,0.27,0.27,0.3,0.3,0.3
Stone/solid brick (external insulation),0.29,0.29,0.29,0.29,0.31,0.32,0.34,0.34,0.37,0.37,0.37
Stone/solid brick (internal insulation),0.29,0.29,0.29,0.29,0.31,0.32,0.34,0.34,0.37,0.37,0.37
Cob (as built),0.54,0.54,0.54,0.54,0.54,0.54,0.56,0.56,0.59,0.59,0.59
Cob (external insulation),0.59,0.59,0.59,0.59,0.59,0.59,0.61,0.61,0.64,0.64,0.64
Cob (internal insulation),0.59,0.59,0.59,0.59,0.59,0.59,0.61,0.61,0.64,0.64,0.64
Cavity (as built),0.25,0.25,0.25,0.25,0.25,0.26,0.27,0.27,0.3,0.3,0.3
Filled cavity / Cavity with insulation (internal/external),0.25,0.25,0.25,0.25,0.25,0.26,0.27,0.27,0.3,0.3,0.3
Timber frame,0.15,0.15,0.15,0.25,0.27,0.27,0.27,0.27,0.3,0.3,0.3
System build (as built),0.25,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.3,0.3,0.3
System build (external insulation),0.32,0.32,0.32,0.32,0.32,0.37,0.37,0.37,0.37,0.37,0.37
System build (internal insulation),0.32,0.32,0.32,0.32,0.32,0.37,0.37,0.37,0.37,0.37,0.37
Metal Frame,0.1,0.1,0.1,0.2,0.22,0.22,0.22,0.22,0.25,0.25,0.25
N/A,0,0,0,0,0,0,0,0,0,0,0
